,City,Country,Lat,Lng,Min Temp,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
311,San Jeronimo,MX,29.37,-110.79,70.18,74.14,30,71,6.04,broken clouds
492,Gamboma,CG,-1.88,15.86,74.17,74.17,82,100,2.73,overcast clouds
455,Mossamedes,AO,-15.2,12.15,74.21,74.21,79,88,2.68,overcast clouds
593,Caravelas,BR,-17.71,-39.25,74.23,74.23,88,0,3.8,clear sky
564,San Ramón,BO,-13.28,-64.72,74.23,74.23,96,100,4.41,overcast clouds
489,Mathathane,BW,-22.27,28.75,74.23,74.23,70,20,11.05,few clouds
391,Cabo San Lucas,MX,22.89,-109.91,67.6,74.52,50,58,9.62,broken clouds
181,Caxito,AO,-8.58,13.66,74.52,74.52,94,100,2.51,overcast clouds
346,Barra Patuca,HN,15.8,-84.28,74.57,74.57,76,3,4.45,clear sky
629,Dustlik,UZ,40.52,68.04,74.57,74.57,27,99,16.24,overcast clouds
530,Seoul,KR,37.57,126.98,60.24,74.59,23,0,11.5,clear sky
461,Diffa,NE,13.32,12.61,74.64,74.64,26,73,7.94,broken clouds
166,São Filipe,CV,14.9,-24.5,74.64,74.64,63,2,8.34,clear sky
302,Prado,BR,-17.34,-39.22,74.73,74.73,87,1,4.79,clear sky
348,Puerto Quijarro,BO,-17.78,-57.77,74.73,74.73,89,27,1.61,scattered clouds
19,Trinidad,UY,-33.54,-56.89,74.77,74.77,66,59,9.84,broken clouds
43,Arraial do Cabo,BR,-22.97,-42.03,74.79,74.79,92,93,17.67,light rain
616,Huarmey,PE,-10.07,-78.15,75.13,75.13,81,100,1.83,overcast clouds
1,Cidreira,BR,-30.18,-50.21,75.15,75.15,90,4,7.99,clear sky
587,San Miguel de Tucumán,AR,-26.82,-65.22,75.2,75.2,83,20,4.61,few clouds
232,Cayenne,GF,4.93,-52.33,75.24,75.24,100,75,0,broken clouds
247,Pisco,PE,-13.7,-76.22,74.01,75.25,88,100,3.44,mist
87,Avarua,CK,-21.21,-159.78,75.25,75.25,94,75,2.3,moderate rain
553,Tete,MZ,-16.16,33.59,75.29,75.29,100,75,3.44,broken clouds
543,Ishigaki,JP,24.34,124.16,75.33,75.33,64,40,12.66,scattered clouds
357,Beitbridge,ZW,-22.22,30,75.49,75.49,72,28,9.08,scattered clouds
595,Auchi,NG,7.07,6.27,75.51,75.51,85,96,2.37,overcast clouds
546,Filadelfia,PY,-22.35,-60.03,75.51,75.51,84,3,6.4,clear sky
660,Bartica,GY,6.4,-58.62,75.52,75.52,93,86,1.72,overcast clouds
125,São João da Barra,BR,-21.64,-41.05,75.54,75.54,87,87,14.05,overcast clouds
69,Puerto Ayora,EC,-0.74,-90.35,75.54,75.54,96,98,2.71,overcast clouds
603,Itoman,JP,26.12,127.67,73.42,75.58,61,40,16.11,scattered clouds
246,Gobabis,NA,-22.45,18.97,75.67,75.67,13,71,5.37,broken clouds
209,Zaraza,VE,9.35,-65.32,75.7,75.7,82,99,8.08,overcast clouds
367,Mattru,SL,7.62,-11.83,75.85,75.85,94,91,2.01,overcast clouds
40,Guarujá,BR,-23.99,-46.26,75.88,75.88,26,100,3.29,overcast clouds
632,Cocobeach,GA,1,9.58,76.03,76.03,87,100,4.52,light rain
193,Caucasia,CO,7.99,-75.19,76.03,76.03,80,94,4.68,overcast clouds
133,Nushki,PK,29.55,66.02,76.05,76.05,18,90,5.82,overcast clouds
495,Necoclí,CO,8.42,-76.79,76.08,76.08,80,88,5.88,overcast clouds
98,Pacora,PA,9.08,-79.28,73.38,76.17,81,0,1.14,clear sky
252,Itarema,BR,-2.92,-39.92,76.37,76.37,87,42,5.77,scattered clouds
401,Bubaque,GW,11.28,-15.83,76.51,76.51,65,12,5.44,few clouds
39,Sinnamary,GF,5.38,-52.95,76.55,76.55,85,99,12.55,overcast clouds
148,Gamba,GA,-2.65,10,76.55,76.55,88,95,3.2,overcast clouds
335,Thai Binh,VN,20.45,106.33,76.68,76.68,63,100,8.68,overcast clouds
470,Acapulco de Juárez,MX,16.86,-99.89,76.82,76.82,78,20,3.44,few clouds
657,Bachaquero,VE,9.97,-71.15,76.89,76.89,85,94,4.21,overcast clouds
47,Puerto Baquerizo Moreno,EC,-0.9,-89.6,76.95,76.95,85,100,4.12,overcast clouds
562,Saryagash,KZ,41.45,69.17,76.96,76.96,34,98,6.58,overcast clouds
592,Tahoua,NE,14.89,5.27,76.98,76.98,19,0,2.3,clear sky
187,Guasdualito,VE,7.24,-70.73,77,77,83,89,2.3,overcast clouds
259,Gulu,UG,2.77,32.3,77.05,77.05,53,98,1.43,overcast clouds
583,Progreso,MX,21.28,-89.67,75.31,77.11,82,2,8.9,clear sky
172,Vao,NC,-22.67,167.48,77.14,77.14,71,29,15.68,scattered clouds
300,Taoudenni,ML,22.68,-3.98,77.2,77.2,12,0,18.61,clear sky
324,Conakry,GN,9.54,-13.68,77.23,77.23,79,74,2.46,broken clouds
517,Ngama,TD,11.78,17.17,77.36,77.36,13,94,9.78,overcast clouds
431,Bassar,TG,9.25,0.78,77.36,77.36,55,99,3.18,overcast clouds
365,Mananjary,MG,-21.22,48.33,77.38,77.38,84,100,6.6,light rain
17,Bonthe,SL,7.53,-12.51,77.4,77.4,92,96,3.53,overcast clouds
279,Tutóia,BR,-2.76,-42.27,77.43,77.43,86,67,8.57,broken clouds
433,Tessalit,ML,20.2,1.01,77.45,77.45,16,56,9.71,broken clouds
520,Praia,CV,14.92,-23.51,77.54,77.54,31,0,18.41,clear sky
561,Tabou,CI,4.42,-7.35,77.61,77.61,87,99,5.23,overcast clouds
444,Young,UY,-32.68,-57.63,77.61,77.61,44,8,3.87,clear sky
326,Vila do Maio,CV,15.13,-23.22,77.79,77.79,75,0,16.51,clear sky
31,Ndélé,CF,8.41,20.65,77.83,77.83,17,99,4.36,overcast clouds
651,Ikom,NG,5.97,8.71,77.83,77.83,89,100,0.49,light rain
260,Huai'an,CN,33.59,119.02,77.86,77.86,30,99,5.55,light rain
506,Port Macquarie,AU,-31.43,152.92,77.9,77.9,80,42,11.3,scattered clouds
191,San Cristobal,EC,-0.9,-89.62,77.9,77.9,85,100,4.21,overcast clouds
309,Harper,LR,4.38,-7.72,78.21,78.21,85,98,5.79,overcast clouds
37,Georgetown,SH,-7.93,-14.42,78.28,78.28,77,100,12.12,overcast clouds
525,Margate,ZA,-30.86,30.37,78.39,78.39,70,0,11.39,clear sky
622,Mongo,TD,12.18,18.69,78.39,78.39,13,68,5.93,broken clouds
499,Ampanihy,MG,-24.7,44.75,78.39,78.39,64,5,8.37,clear sky
134,Touros,BR,-5.2,-35.46,78.51,78.51,80,19,9.17,few clouds
35,Salalah,OM,17.02,54.09,78.62,78.62,67,95,8.52,overcast clouds
91,Vaini,TO,-21.2,-175.2,78.96,78.96,78,40,5.75,scattered clouds
545,Ballina,AU,-28.87,153.57,78.78,79.02,91,77,9.82,broken clouds
234,Soyo,AO,-6.13,12.37,79.03,79.03,84,96,0.67,light rain
8,Takoradze,GH,4.88,-1.76,79.07,79.07,90,98,5.86,overcast clouds
626,Nacala,MZ,-14.54,40.67,79.07,79.07,80,100,12.44,overcast clouds
51,Rikitea,PF,-23.12,-134.97,79.12,79.12,79,22,24.65,light rain
24,Busselton,AU,-33.65,115.33,79.14,79.14,45,19,12.17,few clouds
514,Beloha,MG,-25.17,45.05,79.21,79.21,64,2,11.07,clear sky
240,Pokhara,NP,28.23,83.98,79.25,79.25,18,13,7.29,few clouds
480,Pitimbu,BR,-7.47,-34.81,79.39,79.39,82,55,8.55,broken clouds
272,Bathsheba,BB,13.22,-59.52,79.41,79.41,73,75,8.05,broken clouds
555,Honiara,SB,-9.43,159.95,79.45,79.45,83,100,1.81,overcast clouds
440,Cabedelo,BR,-6.98,-34.83,79.47,79.47,82,46,9.89,scattered clouds
404,Wé,NC,-20.92,167.26,79.66,79.66,62,0,13.13,clear sky
270,Alofi,NU,-19.06,-169.92,79.68,79.68,81,97,16.78,light rain
457,Alugan,PH,12.22,125.48,79.7,79.7,70,78,13.2,broken clouds
46,Byron Bay,AU,-28.65,153.62,78.94,79.72,72,70,10.54,broken clouds
536,Inhambane,MZ,-23.86,35.38,79.77,79.77,85,26,10.8,light rain
66,Atuona,PF,-9.8,-139.03,79.83,79.83,72,65,3.94,broken clouds
641,Koumac,NC,-20.57,164.28,79.93,79.93,74,59,7.36,broken clouds
601,Ibrā’,OM,22.69,58.53,80.1,80.1,27,76,5.01,broken clouds
405,Port Augusta,AU,-32.5,137.77,80.33,80.33,44,4,19.66,clear sky
214,Mount Isa,AU,-20.73,139.5,80.37,80.37,94,81,1.14,light rain
210,Bengkulu,ID,-3.8,102.27,80.44,80.44,80,100,6.11,overcast clouds
248,Meulaboh,ID,4.14,96.13,80.47,80.47,81,100,2.24,overcast clouds
443,Boa Vista,BR,2.82,-60.67,80.58,80.58,69,0,5.75,clear sky
312,Tiarei,PF,-17.53,-149.33,80.62,80.62,81,100,17.85,light rain
174,Kaberamaido,UG,1.74,33.16,80.64,80.64,46,68,2.26,broken clouds
560,Padang,ID,-0.95,100.35,80.65,80.65,85,44,5.14,moderate rain
417,Pemangkat,ID,1.17,108.97,80.71,80.71,81,99,8.05,overcast clouds
196,Poum,NC,-20.23,164.02,80.74,80.74,69,39,8.25,scattered clouds
225,Boussé,BF,12.66,-1.89,80.74,80.74,37,89,1.36,overcast clouds
667,Gigmoto,PH,13.78,124.39,80.85,80.85,60,38,11.74,scattered clouds
384,Luganville,VU,-15.53,167.17,80.96,80.96,80,32,9.06,scattered clouds
519,Atambua,ID,-9.11,124.89,81.25,81.25,71,44,5.41,scattered clouds
119,Wukari,NG,7.85,9.78,81.27,81.27,70,97,7.2,overcast clouds
586,Thinadhoo,MV,0.53,72.93,81.5,81.5,73,57,4.56,broken clouds
206,Lufilufi,WS,-13.87,-171.6,81.52,81.52,77,98,16.42,light rain
406,Tulagi,SB,-9.1,160.15,81.73,81.73,73,100,4.81,overcast clouds
103,Biak,ID,-0.91,122.88,81.79,81.79,74,69,1.03,broken clouds
135,Manuk Mangkaw,PH,4.8,119.85,81.81,81.81,74,81,17.6,broken clouds
28,Carnarvon,AU,-24.87,113.63,81.81,81.81,52,0,16.93,clear sky
229,Victoria,SC,-4.62,55.45,81.82,81.82,76,95,8.25,light rain
42,Kieta,PG,-6.22,155.63,81.84,81.84,81,71,3.56,moderate rain
111,Kidal,ML,18.44,1.41,81.9,81.9,19,12,4.61,few clouds
297,Mersing,MY,2.43,103.84,81.93,81.93,74,94,11.43,overcast clouds
171,Bandarbeyla,SO,9.49,50.81,81.97,81.97,64,8,11.05,clear sky
74,Hithadhoo,MV,-0.6,73.08,81.99,81.99,74,78,6.55,broken clouds
393,Hithadhoo,MV,-0.6,73.08,81.99,81.99,74,78,6.55,broken clouds
663,Lakki,PK,32.61,70.91,82.06,82.06,21,10,1.5,clear sky
239,Kavaratti,IN,10.57,72.64,82.09,82.09,69,0,8.19,clear sky
213,Sokoni,TZ,-6.43,39.55,82.11,82.11,72,98,13.11,overcast clouds
218,Butaritari,KI,3.07,172.79,82.11,82.11,76,50,15.88,scattered clouds
221,Aitape,PG,-3.14,142.35,82.24,82.24,78,77,3.56,light rain
415,Bafoulabé,ML,13.81,-10.83,82.26,82.26,9,86,1.81,overcast clouds
180,Gao,ML,16.64,1.64,82.31,82.31,14,61,11.7,broken clouds
163,Sambava,MG,-14.27,50.17,82.36,82.36,70,100,2.26,overcast clouds
99,Ambilobe,MG,-13.2,49.05,82.4,82.4,80,100,1.79,light rain
550,Gaoua,BF,10.3,-3.25,82.58,82.58,49,86,7.94,overcast clouds
513,Manokwari,ID,-0.87,134.08,82.58,82.58,77,35,6.82,scattered clouds
432,Nabire,ID,-3.37,135.48,82.71,82.71,81,97,2.86,overcast clouds
100,Souillac,MU,-20.52,57.52,82.78,82.78,78,75,11.5,light rain
582,Sur,OM,22.57,59.53,82.8,82.8,38,95,1.92,overcast clouds
642,Tual,ID,-5.67,132.75,82.85,82.85,73,99,7.72,overcast clouds
304,Fare,PF,-16.7,-151.02,82.99,82.99,74,100,19.17,overcast clouds
5,Faanui,PF,-16.48,-151.75,83.03,83.03,74,80,18.05,broken clouds
168,Kavieng,PG,-2.57,150.8,83.28,83.28,76,75,7.92,light rain
422,Majene,ID,-3.54,118.97,83.28,83.28,73,60,5.01,broken clouds
412,Vanimo,PG,-2.67,141.3,83.34,83.34,71,62,4.25,light rain
614,Saint-Joseph,RE,-21.37,55.62,80.1,83.46,77,23,13.71,light rain
554,Namatanai,PG,-3.67,152.43,83.53,83.53,73,81,5.19,light rain
479,Bosaso,SO,11.28,49.18,83.59,83.59,60,3,4.81,clear sky
315,Ternate,ID,0.8,127.4,83.64,83.64,73,98,12.5,overcast clouds
48,Sibolga,ID,1.74,98.78,83.7,83.7,75,73,5.41,moderate rain
325,Saint-Philippe,RE,-21.36,55.77,80.11,83.79,82,46,12.35,light rain
537,Bandipur,IN,11.67,76.63,83.86,83.86,27,0,7.65,clear sky
425,Khowai,IN,24.1,91.63,83.98,83.98,14,68,7.4,broken clouds
652,Mogadishu,SO,2.04,45.34,84.07,84.07,84,40,19.57,scattered clouds
465,Bac Lieu,VN,9.29,105.72,84.09,84.09,54,56,17.13,broken clouds
472,San Nicolas,PH,18.17,120.6,84.11,84.11,54,20,9.22,few clouds
374,Cukai,MY,4.25,103.42,84.15,84.15,69,100,9.8,overcast clouds
613,Amahai,ID,-3.33,128.92,84.2,84.2,71,28,6.35,light rain
16,Bambous Virieux,MU,-20.34,57.76,82.65,84.22,78,75,11.5,light rain
92,Kampot,KH,10.62,104.18,84.25,84.25,49,84,7.87,broken clouds
188,Mahébourg,MU,-20.41,57.7,84.25,84.25,77,36,17.13,light rain
276,Quatre Cocos,MU,-20.21,57.76,84.09,84.31,78,46,17.36,light rain
215,Grand Gaube,MU,-20.01,57.66,84.38,84.38,72,34,11.99,scattered clouds
295,Merauke,ID,-8.47,140.33,84.4,84.4,71,13,9.75,few clouds
578,Cap Malheureux,MU,-19.98,57.61,84.47,84.47,71,9,13,clear sky
420,Samarai,PG,-10.62,150.67,84.54,84.54,68,65,8.86,broken clouds
60,Geraldton,AU,-28.77,114.6,84.61,84.61,51,9,14.97,clear sky
189,Galle,LK,6.04,80.22,84.61,84.61,65,87,3.69,overcast clouds
399,Kollo,NE,13.3,2.34,84.63,84.63,13,99,8.14,overcast clouds
521,Kloulklubed,PW,7.04,134.26,84.7,84.7,76,88,11.05,overcast clouds
396,Nhulunbuy,AU,-12.23,136.77,84.81,84.81,70,100,10.36,overcast clouds
286,Alyangula,AU,-13.85,136.42,84.97,84.97,55,6,2.57,clear sky
183,Madang,PG,-5.22,145.8,85.05,85.05,65,70,5.95,broken clouds
474,Jizan,SA,17.33,42.67,85.14,85.14,64,47,5.08,scattered clouds
61,Amla,IN,21.93,78.12,85.17,85.17,17,0,1.21,clear sky
654,Balikpapan,ID,-1.27,116.83,85.19,85.19,84,20,3.44,few clouds
361,Karangampel,ID,-6.46,108.45,85.21,85.21,64,40,6.46,scattered clouds
633,Maningrida,AU,-12.07,134.27,85.37,85.37,62,20,6.87,few clouds
403,Northam,AU,-31.67,116.67,85.51,85.51,23,13,6.96,few clouds
285,Ingham,AU,-18.65,146.17,85.87,85.87,68,12,7.94,few clouds
648,Saint-Pierre,RE,-21.34,55.48,81.18,85.91,74,0,24.16,clear sky
511,Pontianak,ID,-0.03,109.33,85.98,85.98,70,40,5.75,scattered clouds
481,Port Blair,IN,11.67,92.75,86.04,86.04,70,40,10.36,haze
359,Waingapu,ID,-9.66,120.26,86.05,86.05,65,1,8.01,clear sky
643,Isangel,VU,-19.55,169.27,86.11,86.11,62,40,5.75,scattered clouds
419,Saint-Denis,RE,-20.87,55.47,80.74,86.11,65,18,21.85,few clouds
128,Ambon City,ID,-3.7,128.18,86.14,86.14,79,40,5.75,scattered clouds
371,Flinders,AU,-34.58,150.86,83.05,86.18,64,81,5.01,light rain
156,Manat,PH,7.53,126.02,86.23,86.23,67,46,8.39,scattered clouds
219,Le Port,RE,-20.94,55.29,81.5,86.25,77,6,3.42,clear sky
150,Vite,IN,17.28,74.55,86.47,86.47,22,1,8.52,clear sky
570,Mandera,KE,3.94,41.87,86.88,86.88,45,53,12.77,broken clouds
372,Townsville,AU,-19.25,146.8,86.88,86.88,66,40,11.5,scattered clouds
410,Narwar,IN,25.65,77.9,86.95,86.95,17,0,2.3,clear sky
334,Mildura,AU,-34.2,142.15,87.08,87.08,29,6,10.07,clear sky
377,Port Moresby,PG,-9.44,147.18,87.22,87.22,70,40,11.5,haze
95,Roma,AU,-26.58,148.78,87.24,87.24,51,81,10,broken clouds
319,Dzaoudzi,YT,-12.79,45.27,87.69,87.69,62,0,9.22,clear sky
611,Sittwe,MM,20.15,92.9,87.76,87.76,31,89,7.05,overcast clouds
452,Chaiya,TH,9.39,99.2,87.78,87.78,61,45,14.52,scattered clouds
387,Banjar,ID,-8.19,114.97,88.99,88.99,56,5,3.85,clear sky
97,Bikaner,IN,28.02,73.3,89.44,89.44,12,22,9.8,few clouds
173,Matara,LK,5.95,80.54,89.55,89.55,55,89,6.89,overcast clouds
539,Mackay,AU,-21.15,149.2,89.69,89.69,72,3,11.01,clear sky
429,Mae Hong Son,TH,19.3,97.97,89.74,89.74,40,20,0,haze
454,Bhattiprolu,IN,16.1,80.78,89.76,89.76,30,0,12.35,clear sky
441,Kadhan,PK,24.48,68.99,89.78,89.78,15,45,5.1,scattered clouds
636,Hambantota,LK,6.12,81.12,89.94,89.94,66,20,12.66,few clouds
354,Mareeba,AU,-17,145.43,83.12,90.45,65,9,4.14,clear sky
528,San Isidro,PH,15.02,120.82,86.13,91.11,33,1,14.38,clear sky
571,Saiha,IN,22.48,92.97,91.24,91.24,12,99,5.12,overcast clouds
597,Nandyāl,IN,15.48,78.48,91.58,91.58,27,0,12.3,clear sky
646,Tando Muhammad Khan,PK,25.12,68.54,91.58,91.58,11,61,8.59,broken clouds
202,Phirangipuram,IN,16.3,80.27,93.65,93.65,29,2,10.09,clear sky
579,Broome,AU,-17.97,122.23,94.95,94.95,41,1,8.05,clear sky
294,Kununurra,AU,-15.77,128.73,94.98,94.98,26,17,6.91,few clouds
668,Cairns,AU,-16.92,145.77,84.25,95.07,74,4,5.75,clear sky
428,Yulara,AU,-25.24,130.99,95.68,95.68,11,0,0.87,clear sky
585,Alice Springs,AU,-23.7,133.88,88.21,96.35,40,0,16.11,clear sky
414,Myitkyina,MM,25.38,97.4,97.16,97.16,16,100,1.68,overcast clouds
331,Trat,TH,12.5,102.5,97.43,97.43,31,48,5.14,scattered clouds
566,Shwebo,MM,22.57,95.7,98.04,98.04,12,94,7.81,overcast clouds
244,Magway,MM,20.15,94.92,98.98,98.98,13,83,9.31,broken clouds
509,Karratha,AU,-20.74,116.85,101.34,101.34,21,0,12.17,clear sky
198,Roebourne,AU,-20.78,117.13,102.52,102.52,17,0,6.58,clear sky
104,Port Hedland,AU,-20.32,118.57,104.05,104.05,22,0,13.8,clear sky